"","S1.CEL.gz","S2.CEL.gz","S3.CEL.gz","S4.CEL.gz","S5.CEL.gz","S6.CEL.gz","S7.CEL.gz"
"LRRC71",6.29776650361946,6.26662397056077,6.10321582840556,6.54013350342584,6.26662397056077,6.54293814169768,6.15825411122968
"IGSF11-AS1",2.01164569626147,2.05665838357806,1.77833760910109,1.90687570607837,2.06047455583996,2.14889793092583,2.28996647073844
"SLC5A11",5.90207991294025,5.69245317899319,5.75370496105038,5.78754199874029,5.71767072143888,5.85063966230564,5.78754199874029
"PELATON",5.54241575216927,5.4006556074367,5.34762354087582,5.27386339621023,5.4823839977394,5.37405485855142,5.37405485855142
"MEIOB",3.49012006243896,3.51504563887391,3.65611417868652,3.36234405914033,3.54879171355709,3.51504563887391,3.84919718810738
"KCNIP2-AS1",6.24395717966181,5.88802917121268,5.9195926686751,6.22038320964046,6.26240303907804,6.02675747262875,6.3431759492264
"LINC03031",5.61162466135625,5.36226603919748,5.60178689283229,5.37076465991783,5.78113211028506,5.685137235342,5.74067455843193
"C7orf77",3.98088671610244,3.9351878631021,4.05611850210123,3.92960055820051,4.29450182385849,3.74222725651393,3.98088671610244
"CFAP100-DT",3.89239575090944,3.88712659586623,4.32171851873299,4.13598797205691,4.31430575955032,4.15204349103432,4.13598797205691
"KCNU1",3.91728369636472,3.73399900138085,4.1046569980513,4.19689654539906,3.97180511292956,3.82807917870117,3.91728369636472
"LINC01208",4.96705888447192,5.19809031574029,5.19809031574029,5.19809031574029,5.19809031574029,5.19809031574029,5.32826571939923
"TCTE1",5.32676008036584,5.32676008036584,5.32676008036584,5.32676008036584,5.32676008036584,5.25684728920812,5.86361135585056
"AKAP14",2.18712427186196,1.96033694851919,2.65591797784521,2.51059336447191,2.18712427186196,2.18712427186196,2.24908466573977
"DNAJB8",4.57223584073417,4.57223584073417,4.30354767293743,4.65901376052182,4.67634982322623,4.70946642098765,4.57223584073417
"HMGA1P4",6.97881547186616,7.04841773949255,6.6109696041725,7.25581767062567,6.97881547186616,6.97881547186616,6.9884770671588
"TGM7",3.96776095280518,3.85292657835226,3.6839313028473,3.89778552034273,3.89778552034273,3.98060494395381,3.91728369636472
"PRORSD1P",5.05841128845451,4.88942198950529,5.47582795833769,5.49992668964576,5.29137822959473,5.33188592163738,5.19871503632334
"ZNF473CR",3.7603384005312,3.77303916003596,3.73045690428678,3.93666367141001,4.25949974689037,4.08707555370789,3.97819100698276
"MRPS30-DT",5.46411299333327,4.35476715524272,6.95419994162345,4.20678704706275,6.59192835281013,4.67906817724755,5.62284363715866
"SYCE2",4.24303755078108,4.42261486778533,4.18612986216646,4.42261486778533,4.42261486778533,4.60650451149734,4.61144691616717
"ZNF829",3.65860825724144,3.67862423677621,3.67862423677621,3.63334089111103,3.80784970042655,3.82650850670276,3.65082483858368
"LINC02492",3.54756814064728,3.35478255777174,3.13274446115942,3.56695548384195,3.505268824663,3.4588965402638,3.49289369010014
"C1QTNF1-AS1",4.23089880412077,4.71307302845315,3.84897066700193,4.29689156750699,4.47886050791277,4.20108160606807,4.69094791136505
"ENKUR",3.61344921222531,3.61344921222531,3.61344921222531,3.58671425771719,3.56543374963528,3.67862423677621,3.61344921222531
"PRR30",6.25704495925653,5.99709912955958,6.33301728051395,6.42027450958647,6.48704560751175,6.5588345279501,6.87501700748645
"GARIN1A",5.20314530540182,4.78755234459014,4.8844777787635,5.05026099594127,5.20314530540182,5.05026099594127,5.53902534019618
"DRICH1",5.12893130622529,5.12893130622529,5.12893130622529,5.01071644527643,5.74978309816514,5.12893130622529,4.72014464346441
"LINC00310",3.95620084188548,4.22879566153577,4.28407447348658,4.0632675471011,4.0632675471011,4.13111182664131,3.74670584023455
"RBMS3-AS3",2.54327954476828,2.72422513389971,3.24862342093268,2.22827327734894,3.65119818987104,2.22623395347529,2.77250812376114
"ZP1",5.32095752932054,5.4211717650956,5.14358093100892,5.15466658100242,5.72378970745964,5.68962112516161,5.62675702839554
"B3GNT8",7.51744429501295,7.90395542627146,6.92654680964097,7.77130255509296,6.8967121075733,7.59425333859908,7.38115883997748
"SLC26A8",3.50493137827113,3.72427028915759,3.54879171355709,3.7685194100695,3.54879171355709,3.45142630761249,3.58155983781417
"LINC01304",5.63533677112303,5.45309595440325,5.63533677112303,5.46012185325964,5.85983786420727,5.94732974092786,5.72417294491876
"LINC01539",5.25910856772123,5.25530390782137,5.37068187267039,5.44502329431086,5.44607371942985,5.44502329431086,5.51876434148432
"TTC36",5.67076024749025,5.67076024749025,5.76227008801493,5.76227008801493,5.93390324729878,5.79056334437068,5.78187384209563
"LINC01697",4.07710420453804,4.21988088840297,4.93428272750581,3.94128341411207,4.21988088840297,4.21988088840297,4.5154363798622
