"","S1.CEL.gz","S2.CEL.gz","S3.CEL.gz"
"TLDC2",7.00391770466083,6.07988312559328,6.67359602908106
"ZBTB12",5.90976549860103,5.90976549860103,5.90976549860103
"CCDC85A",6.32942923952513,6.26589192961929,6.32942923952513
"EBF4",6.15154869917663,6.15154869917663,6.15154869917663
"SNAP25-AS1",3.54971056841499,3.54971056841499,3.54971056841499
"GRIN3B",5.10952485022382,5.10952485022382,5.10952485022382
"SUN5",5.94126384317665,5.94126384317665,6.05108049038056
"WFDC10A",4.81654214451353,4.65355072324429,4.67860055284466
"NYAP2",3.47941273828648,3.47941273828648,3.47941273828648
"DCDC2B",6.26837221018871,6.36272906030794,6.34943733554583
"RN7SKP115",4.16374955204928,4.16374955204928,4.16374955204928
"C11orf86",6.71538272416002,6.71538272416002,6.72216339695802
"LRRC74A",6.48246495136108,6.58119288078526,6.48246495136108
"CYP51A1-AS1",3.38052900952394,3.38052900952394,3.41191938349846
"TBX5-AS1",4.05388665096573,4.0370429186858,4.00833702541001
"ADCY10P1",5.71680143394982,5.88574827551508,5.1756041343247
"FAM83C-AS1",5.4938749702257,5.41188653077409,5.41188653077409
"H2BW3P",4.14407266535339,4.14407266535339,4.14407266535339
"IGLV9-49",4.75119946308452,4.69138067577044,4.51966633542579
"PRNT",3.94436708306396,3.94436708306396,3.94436708306396
"TGM6",5.1627754219646,5.14593168968467,4.84905470177337
"TFAP2D",4.77876619263709,4.77876619263709,4.77876619263709
"EYS",2.90975856327903,2.90975856327903,2.90975856327903
"ABHD16B",4.53236172662632,4.68121372042433,4.64866454162951
"DEFB121",4.31802791712908,4.31802791712908,4.31802791712908
"TRAV12-1",4.70967898801228,5.37083554180067,4.70967898801228
"FAM95A",4.7205212099521,4.73044472298495,4.7205212099521
"LINC00923",3.94436708306396,3.94436708306396,3.94436708306396
"SEL1L2",4.20876453353852,4.20876453353852,4.20876453353852
"CBLN4",4.81955576838538,4.8580007349126,4.81955576838538
"TAS2R45",5.74956076430199,5.74204427380603,5.53479687185882
"TAS2R43",5.74956076430199,5.74204427380603,5.53479687185882
"BHLHE23",4.96432516178007,5.24513643407425,5.15934414439572
"LINC02667",4.67860055284466,4.67860055284466,4.67860055284466
"GJD4",5.10952485022382,5.10952485022382,4.85045702246071
"NIPAL4-DT",6.84234360241105,6.65028232964244,6.84234360241105
"MIR3149",4.05388665096573,4.05388665096573,4.05388665096573
"LINC01267",4.42609172678521,4.42609172678521,4.42609172678521
"LINC02535",6.46624002193248,6.67647481534224,5.68580449456031
"RN7SL301P",4.9154056606359,4.78404349810479,4.57201218601921
"OPN4",6.3113812160907,6.3113812160907,6.3113812160907
"CASP16P",4.8890807980708,4.8890807980708,4.8890807980708
"SCIRT",4.72438533632346,4.84915295855749,4.92054247570676
"RPL7AP9",6.74345530979221,6.44983071825414,6.61101708399219
"SEBOX",5.80283312862534,5.80283312862534,5.68794340749044
"ESPNP",4.25375426468549,4.25375426468549,4.25375426468549
"GNG8",5.00794127416119,5.05634986579853,4.88867046161644
"LINC02842",3.72879538089166,3.75199134754925,3.72879538089166
"RAB4A-AS1",5.59791713593979,5.6034288935339,5.59791713593979
"GSDMC",6.44431896066003,6.38328203417571,6.44431896066003
"ACSS2",10.2649006088708,9.44496004899139,9.58010049444953
"BACH1-IT1",5.07262565391171,5.03349384896721,5.23003942368275
"TMEM202-AS1",6.11251559383125,6.11251559383125,6.12426235010102
"NEXMIF",4.27329722426158,4.27329722426158,4.27329722426158
"SSPOP",5.6034288935339,5.6034288935339,5.6034288935339
"RPL7AP71",6.28496569556058,6.07974972130255,6.21760194879434
"CREB3L3",4.53236172662632,4.53236172662632,4.53236172662632
"OR6B1",3.98923952631319,3.98923952631319,3.98923952631319
"RPL7AP29",5.4938749702257,5.4938749702257,5.69437171420448
"MTND1P33",3.42124417479135,3.42124417479135,3.42124417479135
"MTND2P39",3.42124417479135,3.42124417479135,3.42124417479135
"OR4F21",5.07262565391171,5.07262565391171,5.07262565391171
"OR4F2P",5.07262565391171,5.07262565391171,5.07262565391171
"OR4F28P",5.07262565391171,5.07262565391171,5.07262565391171
"OR4F29",5.07262565391171,5.07262565391171,5.07262565391171
"OR4F1P",5.07262565391171,5.07262565391171,5.07262565391171
"OR4F8P",5.07262565391171,5.07262565391171,5.07262565391171
"OR4F3",5.07262565391171,5.07262565391171,5.07262565391171
"OR4F8BP",5.07262565391171,5.07262565391171,5.07262565391171
"OR4F7P",5.07262565391171,5.07262565391171,5.07262565391171
"OR4F16",5.07262565391171,5.07262565391171,5.07262565391171
"VSIG1",5.19494043333176,5.22723245750176,5.19494043333176
"OR2AD1P",3.7833541167786,3.64997473480118,3.58107680826771
"GAPDHP77",4.77876619263709,4.77876619263709,4.77876619263709
"IGLV4-3",7.11633838497954,7.32029791258129,6.93190649930332
"IGLVIVOR22-2",3.88027917186816,3.91164541172088,4.05936398434483
"TRAV30",7.10590289183237,7.10590289183237,7.10590289183237
"IGHV3-54",6.43964351323598,7.38682475032526,5.7683252682473
"IGHV3-33-2",6.43964351323598,7.38682475032526,5.7683252682473
"IGHV3-30-2",6.43964351323598,7.38682475032526,5.7683252682473
